LinkID,ExerciseID,ProductID,VideoTitle,VideoURL,Sport,Body Part,Level
V524,,P02,The Ultimate Guide to the BOSU Elite: Unlock Your Strength,https://www.youtube.com/watch?v=J85rONxYeC4,,,
V523,,P08,Unlock Total Body Workout with the Hybrid Jump Rope from WeckMethod,https://www.youtube.com/watch?v=Yvoq7eZ3-G0,,,
V522,,P08,Non - Dominant Side Training - Hybrid Rope,https://www.youtube.com/watch?v=6ikSP8VoTYA,,,
V521,E008,P08,Underhand Race & Chase® - Flow - Hybrid® Rope,https://www.youtube.com/watch?v=7B64joClHHE&t=6s,,,
V520,E009,P08,Overhand Race & Chase® - Flow - Hybrid® Rope,https://www.youtube.com/watch?v=4gEKjIs10WE&t=6s,,,
V519,E010,P08,Overhand Sneak® - Flow - Hybrid® Rope,https://www.youtube.com/watch?v=2WKsTS-LeLs,,,
V518,E011,P08,Overhand Matadors Wheel® - Flow - Hybrid® Rope,https://www.youtube.com/watch?v=KCdYbMj2yrw,,,
V517,E007,P08,The Dragon Roll® - Flow - Hybrid® Rope,https://www.youtube.com/watch?v=544LWa3Bzk8,,,
V516,E012,P08,Underhand Matadors Wheel® - Flow - Hybrid® Rope,https://www.youtube.com/watch?v=0ssXkndXMR0,,,
V515,,P08,Revolutionize Your Workouts with Hybrid® Rope,https://www.youtube.com/watch?v=7LJmkX95-CA,,,
V514,,P08,Basic Set Ups - Hybrid® Rope,https://www.youtube.com/watch?v=AlePAhul5Kg,,,
V513,,P08,What in the Box - Hybrid® Rope,https://www.youtube.com/watch?v=vdu1AYxmYJs,,,
V512,,P08,Set Up Overview - Hybrid® Rope,https://www.youtube.com/watch?v=ivFKbs27kbw,,,
V511,,P08,Breaking in your Bands - Hybrid® Rope,https://www.youtube.com/watch?v=rMklqQkK-lU,,,
V510,,P08,Basic Setups - Hybrid® Rope,https://www.youtube.com/watch?v=NR8DZyewf6E,,,
V509,,P08,New to Jump Rope - START HERE!!!,https://www.youtube.com/watch?v=dq62ekoz8-o,,,
V508,,P08,15 Min Workout - Intervals - Hybrid® Rope,https://www.youtube.com/watch?v=onwGXKm9UXw,,,
V507,,P02,Chest Workout - Bosu® Elite - WeckMethod,https://www.youtube.com/watch?v=-cT2h6JU8d0,,,
V506,,P02,Improve your Squat - Top 5 - Bosu® Elite,https://www.youtube.com/watch?v=8zMn8Y4U410,,,
V505,E013,P04,The Underhand Cheetahs Tail - RMT® Rope - Rope Flow - Tutorial,https://www.youtube.com/watch?v=Oyn1hQPy8cg,,,
V504,,P16,Cutting Edge Education - Rotational Movement Training Specialist - Instructor Training Course,https://www.youtube.com/watch?v=9enIuc-Ybrs,,,
V503,,P16,Change The Model - The Rotational Movement Training Specialist - Instructor Training Course - RMTS,https://www.youtube.com/watch?v=FFw-8KT8zc4,,,
V502,,"P02, P06",Trap Bar DL Prime & Supplement - The Bosu Elite - Resistance Bands - Workout,https://www.youtube.com/watch?v=LP1MRwB96H4,,,
V501,E014,P04,Overhand Dragon Hops - RMT Rope - Rope Flow - Tutorial,https://www.youtube.com/watch?v=qxuIEyQL5WU,,,
V500,E015,P04,The Dragon Hug - RMT Rope - Rope Flow - Tutorial,https://www.youtube.com/watch?v=vSC2mV9EKNA,,,
V499,E010,P04,The Overhand Sneak ®️ - RMT Rope - Rope Flow - Tutorial,https://www.youtube.com/watch?v=Q9oc9fPb7Io,,,
V498,E007,P04,The Dragon Roll ®️ - RMT Rope - Rope Flow - Tutorial,https://www.youtube.com/watch?v=I3Jpk2S2bRE,,,
V497,E016,P04,The Underhand Matadors Wheel ®️ - RMT Rope - Rope Flow - Tutorial,https://www.youtube.com/watch?v=QDYnAATZuKc,,,
V496,E017,P04,The Overhand Matadors Wheel ®️ - RMT Rope - Rope Flow - Tutorial,https://www.youtube.com/watch?v=7dzFrsIVT7Q,,,
V495,E008,P04,The Underhand Race & Chase ®️ - RMT Rope - Rope Flow - Tutorial,https://www.youtube.com/watch?v=lHK2QOVNb44,,,
V494,E009,P04,The Overhand Race & Chase ®️ - RMT Rope - Rope Flow - Tutorial,https://www.youtube.com/watch?v=sb5dZL9uA4w,,,
V493,,"P02, P03",WeckMethod - Bosu Elite - ProPulse Speed Trainers - Workout - 10 Minutes,https://www.youtube.com/watch?v=Wkd9s9jpGPk,,,
V492,,,Weckmethod - 45 Stance - Kettlebell Swing in Motion,https://www.youtube.com/watch?v=GDPVJ-_FKZs,,,
V491,,P02,Weckmethod - Bosu Elite - 10 Min Daily Routine,https://www.youtube.com/watch?v=cK7wGOqims8,,,
V490,,P04,WeckMethod - RMT Rope - 5 min Feel & Flow - David Weck,https://www.youtube.com/watch?v=1ooLyWvVUBQ,,,
V489,,,Weckmethod 45 Stance - Kettlebell Training - Swing and Goblet Squat,https://www.youtube.com/watch?v=16VCkL7W_dI,,,
V488,,,Weckmethod 45 Stance - Athletic Carry Over & Balance - Set Up & Trap Bar Deadlift,https://www.youtube.com/watch?v=vPdm0Lk-bKA,,,
V487,,,Weckmethod Athlete Highlights - Jeff Henderson - 2016 Rio Olympic Gold Medalist,https://www.youtube.com/watch?v=F_KiqWF4BeM,,,
V486,,,Core Training for Sprinters and Athletes - 4 Quadrant Standing Side Bends,https://www.youtube.com/watch?v=S1Q4mZoJAts,,,
